,date,btc_hashrate,eth_hashrate,ltc_hashrate,btc_tweets,eth_tweets,ltc_tweets,btc_transactions,eth_transactions,ltc_transactions,btc_marketcap,eth_marketcap,ltc_marketcap,btc_difficulty,eth_difficulty,ltc_difficulty
2083,2014-09-17,272584509376251360,null,983509027210,27946,null,650,80119,null,4365,5925502246,null,159003212,29829733124,null,33030
2084,2014-09-18,272494608534696416,null,941608473189,21135,null,560,77185,null,3845,5610580772,null,150691496,29829733124,null,33074
2085,2014-09-19,258872487772260544,null,894378326441,20775,null,572,69266,null,4231,5194824752,null,139162545,29829733124,null,33203
2086,2014-09-20,250342266693436416,null,901774251506,17607,null,546,63306,null,4439,5341519029,null,138573371,29829733124,null,33203
2087,2014-09-21,259636185788375552,null,897510877569,17026,null,616,59636,null,4575,5120337373,null,131789426,29829733124,null,33203
2088,2014-09-22,237324356938668320,null,970322346408,14984,null,454,72900,null,5174,5145978680,null,133843510,29829733124,null,32553
2089,2014-09-23,239275213818262432,null,930139960864,23489,null,658,77133,null,3884,5399888692,null,144679022,29829733124,null,32136
2090,2014-09-24,232883833972772928,null,1027591396256,20675,null,724,74818,null,3553,5543029349,null,148578224,29829733124,null,32136
2091,2014-09-25,251996984631333248,null,1081689018297,20757,null,708,78351,null,3580,5349833846,null,142422616,30419649105,null,33123
2092,2014-09-26,265637234865222816,null,1041874610523,19512,null,731,72421,null,3496,5273534001,null,141656908,34661425924,null,34787
2093,2014-09-27,224070505623179040,null,994027671726,17202,null,721,63004,null,3506,5229464432,null,140636405,34661425924,null,34787
2094,2014-09-28,241377523818640416,null,1012596896251,16636,null,520,62310,null,3614,5041658565,null,136644565,34661425924,null,34787
2095,2014-09-29,232273711923427008,null,1041099139138,19660,null,614,77787,null,3421,4951538539,null,136569911,34661425924,null,35317
2096,2014-09-30,241836416039507616,null,1010709257927,21073,null,676,77853,null,3042,5014624972,null,142053272,34661425924,null,35348
2097,2014-10-01,272544151078856352,null,1059434197831,18636,null,524,78624,null,2524,5037546169,null,141918480,34661425924,null,35348
2098,2014-10-02,248323233472816384,null,1078306814483,18380,null,518,71948,null,2342,4938662174,null,138719492,34661425924,null,35805
2099,2014-10-03,240766007664229120,null,1069195184199,20207,null,474,74948,null,2472,4726635711,null,134054881,34661425924,null,36220
2100,2014-10-04,253983313437823456,null,1069979597620,18214,null,474,66478,null,3304,4424902198,null,125738202,34661425924,null,36220
2101,2014-10-05,294564761338849280,null,1072071320913,20031,null,538,67161,null,3507,4091912575,null,116758818,34661425924,null,36305
2102,2014-10-06,281069907822930304,null,1065634667752,25065,null,563,77888,null,3309,4314787426,null,121928870,34661425924,null,37011
2103,2014-10-07,267927392766944480,null,989813008419,22543,null,517,78935,null,3782,4344645345,null,121674808,34661425924,null,37011
2104,2014-10-08,237817212615490240,null,968748683834,24408,null,548,78674,null,3416,4521776144,null,125591089,34661425924,null,37011
2105,2014-10-09,232219586688085152,null,1011325148315,24075,null,531,82641,null,3965,4814125934,null,128512199,34758212115,null,36251
2106,2014-10-10,271191977365780896,null,1064565386333,19090,null,536,80903,null,3438,4782043694,null,123425806,35002482026,null,35179
2107,2014-10-11,271802008054716992,null,1073498735757,17107,null,840,64876,null,3648,4734295035,null,121082777,35002482026,null,35179
2108,2014-10-12,250913226668186048,null,1055114553772,17072,null,449,63361,null,3020,4833998729,null,124558518,35002482026,null,35305
2109,2014-10-13,261584711220310528,null,1052621545979,22018,null,805,77787,null,3066,5010667233,null,125253090,35002482026,null,36726
2110,2014-10-14,248788094668483936,null,990318893659,25804,null,801,81232,null,5345,5297220823,null,133389412,35002482026,null,36726
2111,2014-10-15,256625578134449504,null,1004775140911,23992,null,626,76106,null,2594,5192245979,null,131307773,35002482026,null,36726
2112,2014-10-16,259685539958134784,null,1099291479454,24445,null,1842,75589,null,2750,5063843988,null,129882527,35002482026,null,36443
2113,2014-10-17,245939183055624960,null,1066799661475,21491,null,897,70697,null,2579,5020798042,null,129719275,35002482026,null,36164
2114,2014-10-18,274653673157766176,null,1056541670615,20572,null,885,66313,null,2627,5121038262,null,132047407,35002482026,null,36164
2115,2014-10-19,254924088221513856,null,1032875579854,18259,null,629,63122,null,2625,5131539820,null,130415105,35002482026,null,36176
2116,2014-10-20,239452093536106400,null,1041799066440,23312,null,727,82563,null,3006,5059685306,null,128815635,35002482026,null,36510
2117,2014-10-21,240024707817415872,null,1039201435738,22499,null,980,81498,null,2502,5090686004,null,129161346,35002482026,null,36510
2118,2014-10-22,288896324697573376,null,1047254593560,20348,null,674,79828,null,2430,5059980721,null,127073555,35002482026,null,36510
2119,2014-10-23,266072297412505888,null,1100120827322,21036,null,761,80487,null,2802,4843161949,null,123110834,35640558234,null,36612
2120,2014-10-24,285794376895822272,null,1106496589646,11147,null,609,77747,null,2694,4742233518,null,123454149,35985640265,null,36692
2121,2014-10-25,269137365163542688,null,1038371483116,22449,null,1043,72360,null,2548,4628367776,null,120731020,35985640265,null,36692
2122,2014-10-26,259530814337569792,null,1097536204197,20090,null,949,70637,null,2153,4715554463,null,123409017,35985640265,null,36851
2123,2014-10-27,253256218621321472,null,1082144244407,21632,null,939,83818,null,2991,4690766408,null,125852316,35985640265,null,37709
2124,2014-10-28,269939731438894688,null,1138674395945,20173,null,981,87842,null,4016,4715923783,null,126844275,35985640265,null,37709
2125,2014-10-29,257312268447950752,null,1190536768503,22081,null,742,93512,null,2769,4570099880,null,124372360,35985640265,null,37709
2126,2014-10-30,295787003737614208,null,1180537179789,22855,null,1291,92452,null,2498,4533464967,null,125493752,35985640265,null,39311
2127,2014-10-31,326559231900022016,null,1056690131112,22906,null,690,85515,null,2589,4544026947,null,124790173,35985640265,null,39642
2128,2014-11-01,302487818580171328,null,1070205855042,30263,null,607,69432,null,2863,4370096961,null,120206772,35985640265,null,39642
2129,2014-11-02,295176963998550336,null,1094758978927,21408,null,1349,77015,null,2404,4351869014,null,119617951,35985640265,null,39334
2130,2014-11-03,281457179968317536,null,1101736931794,26060,null,728,90182,null,2364,4381398539,null,119727713,35985640265,null,37760
2131,2014-11-04,300356578890283584,null,1122042967079,20992,null,776,87455,null,2248,4350336059,null,119871466,35985640265,null,37760
2132,2014-11-05,320925871374771904,null,1189029089686,20871,null,612,89322,null,2605,4487260940,null,121062346,38974444342,null,37760
2133,2014-11-06,270118480928909344,null,1285633633366,24348,null,970,94142,null,2393,4572746566,null,121828487,39603666252,null,40417
2134,2014-11-07,303668982552536128,null,1179041768237,24244,null,802,83807,null,2446,4617019166,null,120255086,39603666252,null,40682
2135,2014-11-08,291267747212960064,null,1187453945669,18964,null,730,72564,null,7350,4589181700,null,118971214,39603666252,null,40682
2136,2014-11-09,282676176674149824,null,1213545757930,18949,null,884,72062,null,2763,4742345203,null,121497765,39603666252,null,41060
2137,2014-11-10,309449107593482688,null,1174524129239,22516,null,555,88847,null,3622,4942146628,null,124214158,39603666252,null,41502
2138,2014-11-11,277668244976602016,null,1222782738318,23156,null,627,85489,null,3047,4912081380,null,123454385,39603666252,null,41502
2139,2014-11-12,270709015519274624,null,1213611188211,25601,null,1409,95432,null,3881,5279831318,null,130313761,39603666252,null,41502
2140,2014-11-13,274885139696703680,null,1234607590062,26798,null,671,92813,null,4561,5700987856,null,136932496,39603666252,null,41620
2141,2014-11-14,299762573840327488,null,1274938741662,23449,null,733,86153,null,3574,5296080940,null,132239335,39603666252,null,41623
2142,2014-11-15,292587865688418560,null,1295405670700,21104,null,671,73102,null,3311,5126248188,null,130207203,39603666252,null,41623
2143,2014-11-16,286591456821241344,null,1314861325937,21652,null,805,75859,null,3336,5140217798,null,130098591,39603666252,null,43849
2144,2014-11-17,295275215659106560,null,1340774837796,25728,null,845,88210,null,3409,5306517363,null,131423332,39603666252,null,44804
2145,2014-11-18,297009253264185024,null,1473050587238,28238,null,800,87370,null,3050,5072081946,null,127564138,39671493922,null,44804
2146,2014-11-19,287919182010912384,null,1332626571122,25117,null,861,85130,null,3325,5082245864,null,127726513,40300030328,null,45634
2147,2014-11-20,275552476040966912,null,1417314712887,23707,null,830,89250,null,3433,4875289715,null,122952314,40300030328,null,46816
2148,2014-11-21,261916305128814144,null,1381473968814,24577,null,756,82052,null,3345,4701683187,null,118681796,40300030328,null,46816
2149,2014-11-22,296228991371722240,null,1443232831198,22344,null,677,74571,null,3306,4798246103,null,119888745,40300030328,null,47098
2150,2014-11-23,293450859704236864,null,1524020575370,20544,null,578,77141,null,3177,4849202667,null,120868054,40300030328,null,49818
2151,2014-11-24,289680939113528384,null,1478973695496,25545,null,743,85660,null,3318,5062643053,null,123612633,40300030328,null,49818
2152,2014-11-25,288884859856141888,null,1548768764801,25985,null,594,86002,null,3346,5133498100,null,122214763,40300030328,null,49818
2153,2014-11-26,272185528836986464,null,1546160126319,27929,null,491,84974,null,3404,4966968161,null,119925229,40300030328,null,52047
2154,2014-11-27,272723097459997504,null,1491186962527,25790,null,543,84541,null,3004,4957494816,null,120625367,40300030328,null,52647
2155,2014-11-28,302449787107424512,null,1489995627647,24830,null,552,85764,null,3047,4952712100,null,120521744,40300030328,null,52647
2156,2014-11-29,297559643926514880,null,1463168529079,26555,null,535,78941,null,3263,5092749163,null,121912597,40300030328,null,52380
2157,2014-11-30,317218951445055936,null,1472359226558,20117,null,395,84853,null,4216,5062172471,null,121457285,40300030328,null,51270
2158,2014-12-01,301131239542826304,null,1479781889325,26508,null,771,97493,null,2913,5110900253,null,122203705,40300030328,null,51270
2159,2014-12-02,277615843023522272,null,1496453084965,32744,null,670,99269,null,3472,5118087676,null,123130369,40294179127,null,51270
2160,2014-12-03,245216929261310400,null,1562865957529,24990,null,575,99232,null,3315,5049865051,null,122064666,40007470271,null,51958
2161,2014-12-04,277755178724146016,null,1471325884829,26370,null,554,98202,null,5670,4978404395,null,121682390,40007470271,null,52191
2162,2014-12-05,296818449738403968,null,1471559619350,25043,null,549,90744,null,5241,4968035300,null,121582821,40007470271,null,52191
2163,2014-12-06,301645531402877376,null,1457157800611,21503,null,447,81093,null,3049,5003511780,null,122107037,40007470271,null,52050
2164,2014-12-07,260259802589088192,null,1564615015561,21983,null,611,74666,null,3075,5008909308,null,125941359,40007470271,null,51485
2165,2014-12-08,283289011093925760,null,1665308742869,24899,null,541,90583,null,3119,4903520301,null,125697201,40007470271,null,51485
2166,2014-12-09,284178710199500288,null,1665919036251,27224,null,809,90078,null,3323,4694562383,null,120380900,40007470271,null,51569
2167,2014-12-10,318149583623749376,null,1630762369395,25421,null,1227,88655,null,2476,4669960480,null,119691760,40007470271,null,56651
2168,2014-12-11,271389922278569216,null,1585530877558,32162,null,1306,83857,null,2591,4702507612,null,118369791,40007470271,null,56651
2169,2014-12-12,298082108921639488,null,1634595078445,25383,null,635,81156,null,2470,4691062468,null,118380063,40007470271,null,56651
2170,2014-12-13,284947492627315168,null,1633753673914,26584,null,723,76061,null,2852,4662364315,null,118197271,40007470271,null,56399
2171,2014-12-14,277788221677190752,null,1669949289727,23579,null,800,79562,null,2585,4639285573,null,118230020,40007470271,null,56133
2172,2014-12-15,291278574362942528,null,1625066332201,26094,null,894,94318,null,2943,4610400716,null,116783493,40007470271,null,56133
2173,2014-12-16,268860138801502240,null,1612928734871,27622,null,1037,100921,null,4049,4451694391,null,105934713,40007470271,null,56168
2174,2014-12-17,268739527138187104,null,1653286583995,28350,null,948,98316,null,3053,4336129834,null,102084875,39560758613,null,56939
2175,2014-12-18,262473196956005056,null,1530402342119,26969,null,1056,95078,null,2871,4234265225,null,98521468,39457671307,null,56939
2176,2014-12-19,246978381062096224,null,1603546691575,23574,null,636,95268,null,2867,4242881959,null,97420419,39457671307,null,56939
2177,2014-12-20,279748964868255872,null,1489105661346,23524,null,510,86767,null,3528,4399373211,null,101613827,39457671307,null,55879
2178,2014-12-21,271722259420618976,null,1492519388081,21411,null,535,78831,null,3818,4348168443,null,99040839,39457671307,null,54138
2179,2014-12-22,266329740056618720,null,1474349492102,23172,null,612,96347,null,4356,4434643841,null,99686289,39457671307,null,54138
2180,2014-12-23,317865680446537088,null,1466926442994,25504,null,582,99319,null,3787,4491396123,null,99845992,39457671307,null,54138
2181,2014-12-24,298967653079340480,null,1575682913351,24192,null,460,82194,null,3059,4438611693,null,96351235,39457671307,null,52800
2182,2014-12-25,323368573030739968,null,1771651075687,21216,null,530,67760,null,3074,4330167226,null,94127969,39457671307,null,52357
2183,2014-12-26,288497695753879360,null,1649052150206,21728,null,451,76046,null,2771,4388136839,null,96176172,39457671307,null,52357
2184,2014-12-27,315103217846687872,null,1706314284198,21543,null,490,76662,null,3184,4308984821,null,95338957,39457671307,null,56189
2185,2014-12-28,312109045578472704,null,1700949808695,18427,null,829,75546,null,3278,4266469446,null,94175273,39457671307,null,58967
2186,2014-12-29,331823741040709440,null,1523703867219,19605,null,507,83283,null,2889,4267535667,null,94577893,39457671307,null,58967
2187,2014-12-30,302854682888407616,null,1531151326839,19477,null,491,84894,null,3405,4236520979,null,94949838,39740132580,null,58967
2188,2014-12-31,321822077886294592,null,1467501213630,20017,null,543,77259,null,3043,4241986269,null,95297340,40640955017,null,55174
2189,2015-01-01,322164647402563776,null,1495639433228,18681,null,593,59179,null,2848,4287908436,null,95560519,40640955017,null,54623
2190,2015-01-02,330205084335504000,null,1593350108223,9385,null,395,79122,null,3195,4272408724,null,94080617,40640955017,null,54623
2191,2015-01-03,333717727251091200,null,1568703406354,null,null,null,82065,null,5201,4078335542,null,81253226,40640955017,null,54279
2192,2015-01-04,331197708861639232,null,1489530677164,7300,null,301,85522,null,4937,3762088010,null,71991337,40640955017,null,53495
